RESTAURANTID,INSTALL_TYPE,BOOKED_TO_WORKABLE_DAYS
385402a8-456a-4802-b5c2-086cf992b253,Self Service,1
44fc9e29-401f-47ca-bc2f-eb82a44fa0bd,Self Service,21
bb7b2d09-ae7e-412d-b13d-8652263eb9c5,Self Service,9
eb4c3736-fa1e-4ceb-bd89-bc7f9a55ea16,Self Service,20
6fd88b7d-f4e5-4951-89ca-e4454375ce51,Self Service,42
d9a3a0bb-6c47-4186-90ec-9c86f647f5ae,Self Service,63
c63dce18-a656-4969-ab7c-f95a5ecdbe28,Self Service,12
0c0e4e89-8d28-48cf-8c8f-df3ad907cf27,Remote,14
6ec0accd-4692-4be9-9ef5-ddd851c113ac,Self Service,10
ca970371-8487-403a-99a2-53fedfa7d9f8,Self Service,28
f5a01a5f-4d1d-42ed-a716-4b6edef54703,Self Service,39
9b4b0bdf-1375-4bc9-a7ae-5f93b5d26e7b,Self Service,6
b143eb7d-73a6-407e-b141-6c3626142c2c,Self Service,2
28dc8b2b-60fe-47a1-b0d1-9daf60d9bbd0,Self Service,16
dbd43ffd-ef6f-4b95-9412-fe451f4690fc,Self Service,13
2ab79488-2644-47dd-a768-d591f326892c,Self Service,6
82657546-40e9-4636-84c9-034642646820,Self Service,14
074c0284-e6fc-4800-9915-9f5eea1b3fa8,Self Service,3
63989935-7874-430c-897d-703abfe5e0ce,Self Service,7
96388195-adf6-436e-a3e1-551b575d1d55,Self Service,8
6ee71e48-9727-46f3-a96a-0022eb68cf33,Remote,11
651a3a6c-a13a-44c3-8071-613b2bae211c,Self Service,29
1dcbb6c0-7a1d-415e-8cd6-632ece5bf616,Self Service,11
0b7ea95f-327c-49bc-a902-4a224697aebc,Remote,39
fe837a3e-ae7f-459b-8005-c3cfea1c3aaf,Self Service,14
5be2a4ba-10e1-40d1-81ae-52309d2755e9,Self Service,9
76dfcf03-d6fa-4c0d-814c-f5079b65298d,Self Service,112
e21f76d1-6ef4-44db-b49e-3f0aa6a661b9,Self Service,14
49ad3216-4188-4f43-b988-1ddcdce9d7fb,Self Service,8
2cae237c-4e80-4224-9e0d-8bb00570929e,Self Service,2
ac1caaa0-66d4-4be8-aff9-79d03d020f0f,Self Service,14
4e2ed5bc-d89a-4c83-a94a-062a285c6672,Self Service,6
63be0d9a-6c16-4765-a941-3231b3ac6d68,Self Service,7
2105ec72-999c-461d-928d-005754bb689b,Self Service,14
205d5e08-ac7f-416c-baac-c9dcec7fd835,Self Service,12
ee7cf2b8-0e2c-41bb-9304-105501dc3611,Self Service,10
146d5bd7-52e1-43f0-86ff-25da063d11b5,Self Service,89
c57bbd67-1330-4b93-bf82-e4a666cbf5f3,Self Service,76
029a9bc3-1dfb-4946-b8e3-f77a4fa1bca5,Self Service,8
459273e1-d225-4830-aa44-e9c01b7bcb8a,Self Service,23
e83ce08c-74f0-4dd8-ab3a-b58676a3298a,Self Service,34
d9370299-a6d8-4438-9ee3-60559d1e6766,Self Service,6
5a155a53-68df-4974-9c79-373d00fb9e4f,Self Service,1
3521390c-ad86-4f68-833b-9eedc9be5915,Self Service,0
388f6e61-53f6-4de6-a37b-389441d8caa1,Remote,1
6c0c7314-fa90-4c5c-b0cd-88142129a703,Self Service,3
693a7c1d-01c6-4375-a10b-e4a1cdda7d7c,Self Service,10
846ae573-5087-4dc4-bb27-928e3026f620,Self Service,13
2afa77ee-d931-486d-a946-44b4b346ab58,Self Service,61
af3825af-8bc4-441d-84cd-0828c7d49ced,Self Service,4
eb3f4ad9-4089-4fa2-bb39-d147bd6c627c,Self Service,50
b2351337-7071-4634-b90b-d878762e2ee4,Self Service,8
0fba44e6-c58d-40c3-888b-006927dfdeae,Self Service,15
a9ed552d-3b9d-44dc-95b4-0ca1bc8db1c6,Self Service,12
ab800b35-5ee3-4805-ada5-733edab99fc4,Self Service,4
acd535b0-4cae-485f-89a9-d46f69e387dd,Self Service,19
4a3782f5-677e-47e7-a48b-49d937991996,Self Service,35
ea892d1c-184f-4931-a7aa-6121274940ab,Self Service,35
02b4610c-fce7-4ebb-b0ee-6aad8192efb3,Self Service,5
b37c325c-c574-48cf-9a5b-2dc60bb737a5,Self Service,14
05533e75-1e48-4168-8248-c5f9c3a7dd07,Self Service,19
1a6b407d-563a-4d05-8951-6d1188fbf822,Self Service,12
82c8ff9d-d507-40d7-9f3e-b0b76dd9a810,Remote,19
94149ff8-109b-42fb-83ba-85a4d0be2c3b,Self Service,8
200ccd0a-63b8-4775-85ee-749ad5f8df6e,Self Service,0
56cfb88b-b2d0-4aa0-8a73-92c10c7b077f,Self Service,59
