Customer Account Name,Opportunities Opportunity Created Date,Accounts Salesforce Account ID,Customer Account Toast Guid,Opportunities Total Software ARR,Opportunity Line Item Hardware Value,Passed Auto GIACT,Failed Auto GIACT,Banking Status,Banking Task Statuses,Go Live Status
Mac Daddy Wingz and Cheese,2023-04-03,0014W00003CNUBKQA5,68ff080e-5d4c-4fca-af76-2d6030b9a7e3,$0,$0.00,,True,In progress,IN_PROGRESS,NEW
Massapequa Coast Little League,2023-04-03,0014W00003CNVV5QAP,31abd5ed-c564-46a2-b18d-53f5e6407262,$0,$0.00,True,,Completed,COMPLETED,NEW
Montego Bat Restaurant and Pastries,2023-04-03,0014W00003CNVHDQA5,379442dd-b5f6-43f4-b32b-a260e322a770,$0,$0.00,,,Not started,NEW,NEW
Quiggleys Bar and Grill,2023-04-03,0014W00003CNUkEQAX,d17e04c9-36d2-42d4-9566-1e8b7d4b4ef6,$0,$190.80,,,Completed,COMPLETED,NEW
Las Koritas,2023-04-03,0014W00003CNVRwQAP,c3c9ef5d-4571-4f68-8387-8d089769ab52,$0,$0.00,True,,Completed,COMPLETED,NEW
Mountainbuzz Pizza,2023-04-03,0014W000037YiF8QAK,b4013dae-e141-4bc2-bdd4-4a003a48c3fc,$0,$0.00,,True,Completed,COMPLETED,NEW
Juice Brews,2023-04-03,0014W00003CNVJIQA5,842c6daa-e79b-4f90-a0d9-67bff3681d20,$300,$508.53,True,,Completed,COMPLETED,NEW
Don Juan Tacos y Mas,2023-04-03,0014W00003CNUsdQAH,ff6de1dd-b0a3-46c1-b0e9-8045941ccd97,"$1,188","$1,117.00",True,,Completed,COMPLETED,NEW
Chef De’jour catering $ Private chef services,2023-04-02,0014W00003CNTNzQAP,96097960-034a-479a-852c-b99326fbc5fe,$900,$0.00,,True,In progress,IN_PROGRESS,NEW
Villa Thai,2023-04-01,0014W00003CNT4kQAH,fc1a71f5-d858-4e81-b35b-3e63ea005ff2,"$2,268","$2,215.00",,True,Completed,COMPLETED,NEW
